Time (UTC),Time (UTC+7),t_sec,Plane,SatInPlane,SatID,RAAN(deg),M0(deg),Azimuth (deg),Elevation (deg),Slant Range (m),Sat Lat (deg),Sat Lon (deg),Sat Alt (m)
2024-10-21 16:43:40.000,2024-10-21 23:43:40.000,60220,4,1,P04-S01,288.0,162.0,227.57264641624545,17.211325298677277,1515011.4208527738,10.540278274653668,90.00252807195567,600710.1974222492
2024-10-21 16:43:50.000,2024-10-21 23:43:50.000,60230,2,0,P02-S00,144.0,36.0,154.69680624086214,1.9343946474627909,2617100.7612262946,-1.3320003131495037,108.1797081897708,600011.4656512933
2024-10-21 16:43:50.000,2024-10-21 23:43:50.000,60230,4,1,P04-S01,288.0,162.0,225.33347107538833,18.026176446107907,1477226.8845314104,10.475685429224932,90.58837337043406,600701.6143527273
2024-10-21 16:44:00.000,2024-10-21 23:44:00.000,60240,2,0,P02-S00,144.0,36.0,153.186497823745,1.8072240969826991,2630290.5158406035,-1.202882685668011,108.74521838787147,600009.3508420158
2024-10-21 16:44:00.000,2024-10-21 23:44:00.000,60240,4,1,P04-S01,288.0,162.0,222.95796117699243,18.82956864740958,1441562.2637096955,10.409863596733622,91.17395770028837,600692.9198731948
2024-10-21 16:44:10.000,2024-10-21 23:44:10.000,60250,2,0,P02-S00,144.0,36.0,151.69232455726652,1.6660457289646005,2645008.417701199,-1.0736298258340806,109.3106717890076,600007.4494803837
2024-10-21 16:44:10.000,2024-10-21 23:44:10.000,60250,4,1,P04-S01,288.0,162.0,220.44180467749416,19.61425526085636,1408182.3480881194,10.342821164590994,91.75927797955879,600684.1180619458
2024-10-21 16:44:20.000,2024-10-21 23:44:20.000,60260,2,0,P02-S00,144.0,36.0,150.21572193967728,1.5113640891473739,2661227.830435237,-0.9442562785864024,109.87607445201311,600005.7624590388
2024-10-21 16:44:20.000,2024-10-21 23:44:20.000,60260,4,1,P04-S01,288.0,162.0,217.78228664375786,20.371878756486822,1377256.724704708,10.27456666231926,92.34433125807644,600675.2130476646
2024-10-21 16:44:30.000,2024-10-21 23:44:30.000,60270,2,0,P02-S00,144.0,36.0,148.75800644094184,1.3437137626581228,2678920.046958455,-0.8147765977108282,110.4414324564844,600004.2905699937
2024-10-21 16:44:30.000,2024-10-21 23:44:30.000,60270,4,1,P04-S01,288.0,162.0,214.9787937989309,21.09302844508208,1348957.3892522622,10.205108759835493,92.92911471860366,600666.2090074923
2024-10-21 16:44:40.000,2024-10-21 23:44:40.000,60280,2,0,P02-S00,144.0,36.0,147.32037166776936,1.1636532978053304,2698054.509959598,-0.6852053447637225,111.0067519002892,600003.0345042674
2024-10-21 16:44:40.000,2024-10-21 23:44:40.000,60280,4,1,P04-S01,288.0,162.0,212.03334637904723,21.7673879635642,1323455.7242612808,10.134456265722951,93.51362567790802,600657.1101650717
2024-10-21 16:44:50.000,2024-10-21 23:44:50.000,60290,2,0,P02-S00,144.0,36.0,145.90388628376033,0.9717592314501604,2718599.0359649505,-0.5555570879970542,111.57203889706338,600001.994851551
